Time (sec),Semi-Major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Argument of Periapsis (deg),True Anomaly (deg),Orbital Energy (km^2/sec^2),Radius_1 (km),Radius_2 (km),Radius_3 (km),Velocity_1 (km/s),Velocity_2 (km/s),Velocity_3 (km/s),Acceleration_1 (km/s^2),Acceleration_2 (km/s^2),Acceleration_3 (km/s^2),Angular_Momemntum_1 (km^2/s),Angular_Momemntum_2 (km^2/s),Angular_Momemntum_3 (km^2/s)
          0.0039,             7121,            0.063,               45,                0,                0,  0.0002668722162,     -27.98767321,         6672.377,    0.02197580744,    0.02197580744, -3.491734624e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  4.580872999e-18,     -37597.65952,      37597.65952
           0.004,             7121,            0.063,               45,                0,                0,  0.0002737126939,     -27.98767321,         6672.377,    0.02253928968,    0.02253928968, -3.581266281e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  7.497495278e-18,     -37597.65952,      37597.65952
          0.0041,             7121,            0.063,               45,              360,                0,  0.0002805565676,     -27.98767321,         6672.377,    0.02310277192,    0.02310277192, -3.670797938e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -6.227033446e-19,     -37597.65952,      37597.65952
          0.0042,             7121,            0.063,               45,              360,                0,  0.0002873997902,     -27.98767321,         6672.377,    0.02366625417,    0.02366625417, -3.760329595e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -1.176040163e-17,     -37597.65952,      37597.65952
          0.0043,             7121,            0.063,               45,              360,              360,  0.0002942436457,     -27.98767321,         6672.377,    0.02422973641,    0.02422973641, -3.849861253e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -6.552418997e-18,     -37597.65952,      37597.65952
          0.0044,             7121,            0.063,               45,              360,                0,  0.0003010844596,     -27.98767321,         6672.377,    0.02479321865,    0.02479321865,  -3.93939291e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -4.735009832e-18,     -37597.65952,      37597.65952
          0.0045,             7121,            0.063,               45,              360,                0,   0.000307927169,     -27.98767321,         6672.377,    0.02535670089,    0.02535670089, -4.028924567e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -6.494711034e-18,     -37597.65952,      37597.65952
          0.0046,             7121,            0.063,               45,              360,                0,  0.0003147716503,     -27.98767321,         6672.377,    0.02592018313,    0.02592018313, -4.118456224e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  -1.20180595e-17,     -37597.65952,      37597.65952
          0.0047,             7121,            0.063,               45,                0,                0,  0.0003216132575,     -27.98767321,         6672.377,    0.02648366538,    0.02648366538, -4.207987881e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  6.263983475e-18,     -37597.65952,      37597.65952
          0.0048,             7121,            0.063,               45,                0,                0,  0.0003284566086,     -27.98767321,         6672.377,    0.02704714762,    0.02704714762, -4.297519538e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  4.592470696e-18,     -37597.65952,      37597.65952
