Radius_1, Radius_2, Radius_3, Velocity_1, Velocity_2, Velocity_3, Mass, ARadius_1, ARadius_2, ARadius_3, AVelocity_1, AVelocity_2, AVelocity_3, AMass, Time
   -0.4213488107,    -0.9220007254,  -0.001806845308,     0.9279726444,    -0.4450931117,  -0.004601497145,     0.9670292807,     -1.628190978,    -0.2529311628,     -1.274083154,       1.48506296,    -0.4128127183,     0.2681222535,      1.009115482,             0.33
   -0.4120480579,    -0.9264076043,  -0.001852598296,     0.9321626674,    -0.4362763297,  -0.004548821734,      0.966834694,     -1.639692195,    -0.2427076399,     -1.276705009,      1.501402133,    -0.4103346678,     0.2808760936,      1.009442869,             0.34
   -0.4027058633,    -0.9307261269,  -0.001897816226,     0.9362609156,    -0.4274220141,  -0.004494491441,     0.9666401834,     -1.651485144,    -0.2326615114,      -1.27944783,      1.517857776,    -0.4079579742,     0.2936567569,       1.00977384,             0.35
   -0.3933231467,    -0.9349559232,  -0.001942482727,     0.9402670099,     -0.418531264,  -0.004438541724,     0.9664457513,     -1.663571004,    -0.2228032905,     -1.282311719,      1.534432812,    -0.4056808112,     0.3064654537,      1.010108439,             0.36
   -0.3839008315,    -0.9390966344,  -0.001986581779,     0.9441805865,    -0.4096051828,  -0.004381007669,     0.9662514004,     -1.675950677,    -0.2131436094,     -1.285296783,      1.551130176,    -0.4035012466,     0.3193033952,       1.01044671,             0.37
   -0.3744398446,    -0.9431479127,  -0.002030097715,     0.9480012977,    -0.4006448777,  -0.004321923988,     0.9660571334,     -1.688624782,    -0.2036932102,     -1.288403134,      1.567952807,    -0.4014172414,     0.3321717937,      1.010788693,             0.38
   -0.3649411162,    -0.9471094215,  -0.002073015208,     0.9517288112,    -0.3916514592,  -0.004261325015,     0.9658629527,     -1.701593647,    -0.1944629352,     -1.291630888,      1.584903654,    -0.3994266486,     0.3450718626,      1.011134434,             0.39
   -0.3554055801,    -0.9509808352,  -0.002115319277,     0.9553628108,    -0.3826260416,  -0.004199244705,     0.9656688611,     -1.714857308,    -0.1854637182,     -1.294980166,      1.601985663,    -0.3975272125,     0.3580048165,      1.011483972,              0.4
   -0.3458341727,    -0.9547618394,  -0.002156995276,     0.9589029959,    -0.3735697418,  -0.004135716631,     0.9654748611,     -1.728415504,    -0.1767065741,     -1.298451093,      1.619201782,    -0.3957165673,     0.3709718714,      1.011837351,             0.41
   -0.3362278338,    -0.9584521309,  -0.002198028895,     0.9623490819,    -0.3644836799,  -0.004070773985,     0.9652809554,     -1.742267675,    -0.1682025899,       -1.3020438,      1.636554953,    -0.3939922371,     0.3839742443,      1.012194612,             0.42
   -0.3265875056,    -0.9620514176,   -0.00223840615,     0.9657007999,    -0.3553689783,  -0.004004449577,     0.9650871465,     -1.756412956,    -0.1599629145,      -1.30575842,      1.654048112,    -0.3923516345,     0.3970131538,      1.012555796,             0.43
   -0.3169141332,    -0.9655594187,  -0.002278113388,     0.9689578969,    -0.3462267617,  -0.003936775839,     0.9648934372,     -1.770850175,    -0.1519987488,     -1.309595091,      1.671684185,    -0.3907920605,     0.4100898196,      1.012920944,             0.44
   -0.3072086639,    -0.9689758648,  -0.002317137276,      0.972120136,    -0.3370581569,  -0.003867784821,       0.96469983,     -1.785577853,    -0.1443213357,     -1.313553955,      1.689466084,    -0.3893107037,     0.4232054629,      1.013290097,             0.45
   -0.2974720474,    -0.9723004977,    -0.0023554648,     0.9751872961,    -0.3278642925,    -0.0037975082,     0.9645063276,     -1.800594198,    -0.1369419501,     -1.317635156,      1.707396705,    -0.3879046403,     0.4363613064,      1.013663297,             0.46
   -0.2877052356,    -0.9755330703,  -0.002393083259,     0.9781591719,    -0.3186462986,  -0.003725977276,     0.9643129326,     -1.815897106,    -0.1298718885,     -1.321838846,      1.725478923,    -0.3865708336,     0.4495585743,      1.014040583,             0.47
   -0.2779091822,     -0.978673347,  -0.002429980267,     0.9810355743,    -0.3094053065,  -0.003653222978,     0.9641196476,     -1.831484157,     -0.123122459,     -1.326165175,      1.743715594,    -0.3853061337,     0.4627984922,      1.014421996,             0.48
   -0.2680848429,    -0.9817211035,  -0.002466143743,     0.9838163298,    -0.3001424485,  -0.003579275867,     0.9639264753,     -1.847352617,    -0.1167049705,     -1.330614301,      1.762109544,    -0.3841072779,     0.4760822871,      1.014807575,             0.49
    -0.258233175,    -0.9846761268,  -0.002501561909,     0.9865012811,    -0.2908588577,  -0.003504166135,     0.9637334184,     -1.863499433,     -0.110630723,     -1.335186383,      1.780663574,    -0.3829708902,      0.489411188,      1.015197362,              0.5
   -0.2483551371,    -0.9875382153,   -0.00253622329,     0.9890902868,    -0.2815556678,  -0.003427923616,     0.9635404793,     -1.879921237,    -0.1049109969,     -1.339881584,       1.79938045,    -0.3818934817,     0.5027864252,      1.015591396,             0.51
   -0.2384516895,    -0.9903071786,  -0.002570116704,     0.9915832212,    -0.2722340124,   -0.00335057778,     0.9633476608,     -1.896614341,   -0.09955704249,     -1.344700068,      1.818262903,     -0.380871451,     0.5162092307,      1.015989716,             0.52
   -0.2285237933,    -0.9929828378,  -0.002603231265,     0.9939799747,    -0.2628950253,  -0.003272157744,     0.9631549656,      -1.91357474,   -0.09458006991,     -1.349642006,      1.837313628,    -0.3799010842,     0.5296808381,      1.016392362,             0.53
   -0.2185724109,    -0.9955650251,  -0.002635556374,     0.9962804534,    -0.2535398401,  -0.003192692271,     0.9629623961,     -1.930798115,   -0.08999123855,     -1.354707568,      1.856535275,    -0.3789785557,     0.5432024829,      1.016799373,             0.54
   -0.2085985054,    -0.9980535844,   -0.00266708172,     0.9984845795,    -0.2441695896,  -0.003112209775,     0.9627699551,     -1.948279829,   -0.08580164679,     -1.359896927,      1.875930451,    -0.3780999286,     0.5567754021,       1.01721079,             0.55
   -0.1986030407,      -1.00044837,  -0.002697797273,      1.000592291,     -0.234785406,  -0.003030738325,     0.9625776452,     -1.966014928,   -0.08202232171,     -1.365210262,      1.895501716,    -0.3772611552,     0.5704008346,       1.01762665,             0.56
   -0.1885869812,      -1.00274925,  -0.002727693282,      1.002603541,    -0.2253884204,  -0.002948305645,     0.9623854691,     -1.983998149,   -0.07866420887,      -1.37064775,      1.915251577,    -0.3764580781,     0.5840800212,      1.018046994,             0.57
   -0.1785512915,       -1.0049561,  -0.002756760273,      1.004518299,    -0.2159797626,  -0.002864939123,     0.9621934292,     -2.002223914,   -0.07573816205,     -1.376209572,      1.935182487,    -0.3756864308,     0.5978142041,       1.01847186,             0.58
   -0.1684969369,      -1.00706881,  -0.002784989042,      1.006336551,    -0.2065605607,  -0.002780665808,     0.9620015283,     -2.020686339,   -0.07325493326,     -1.381895912,      1.955296844,    -0.3749418388,     0.6116046277,      1.018901287,             0.59
   -0.1584248822,      -1.00908728,  -0.002812370656,      1.008058297,    -0.1971319413,  -0.002695512417,     0.9618097689,     -2.039379231,   -0.07122516262,     -1.387706956,      1.975596982,    -0.3742198206,      0.625452538,      1.019335314,              0.6
   -0.1483360926,     -1.011011421,  -0.002838896445,      1.009683554,    -0.1876950286,  -0.002609505339,     0.9616181536,     -2.058296094,   -0.06965936851,      -1.39364289,      1.996085175,    -0.3735157889,     0.6393591831,      1.019773978,             0.61
   -0.1382315327,     -1.012841156,  -0.002864558004,      1.011212353,    -0.1782509447,  -0.002522670632,     0.9614266851,     -2.077430131,   -0.06856793775,     -1.399703903,      2.016763628,    -0.3728250519,     0.6533258127,       1.02021732,             0.62
   -0.1281121669,      -1.01457642,  -0.002889347185,      1.012644741,     -0.168800809,  -0.002435034036,      0.961235366,     -2.096774249,   -0.06796111592,     -1.405890186,      2.037634478,    -0.3721428147,     0.6673536787,      1.020665377,             0.63
    -0.117978959,     -1.016217156,  -0.002913256096,      1.013980783,    -0.1593457383,  -0.002346620963,     0.9610441987,     -2.116321061,    -0.0678489978,      -1.41220193,      2.058699789,    -0.3714641806,     0.6814440347,      1.021118187,             0.64
   -0.1078328721,     -1.017763322,  -0.002936277099,      1.015220556,    -0.1498868461,  -0.002257456513,     0.9608531859,     -2.136062891,   -0.06824151798,     -1.418639331,       2.07996155,    -0.3707841526,     0.6955981362,      1.021575788,             0.65
  -0.09767486847,     -1.019214884,  -0.002958402805,      1.016364152,    -0.1404252427,  -0.002167565466,     0.9606623302,     -2.155991779,   -0.06914844165,     -1.425202581,       2.10142167,    -0.3700976355,     0.7098172408,      1.022038219,             0.66
  -0.08750590929,     -1.020571821,  -0.002979626068,      1.017411682,    -0.1309620349,  -0.002076972289,     0.9604716341,     -2.176099484,   -0.07057935547,     -1.431891876,      2.123081981,    -0.3693994371,     0.7241026079,      1.022505517,             0.67
  -0.07732695464,     -1.021834123,  -0.002999939991,      1.018363269,    -0.1214983257,  -0.001985701141,     0.9602811002,     -2.196377491,   -0.07254365868,     -1.438707415,      2.144944228,    -0.3686842704,     0.7384554991,      1.022977719,             0.68
  -0.06713896326,      -1.02300179,  -0.003019337911,      1.019219052,     -0.112035214,   -0.00189377587,      0.960090731,     -2.216817014,   -0.07505055445,     -1.445649394,      2.167010069,    -0.3679467552,     0.7528771777,      1.023454864,             0.69
  -0.05694289244,     -1.024074833,  -0.003037813406,      1.019979184,    -0.1025737945,  -0.001801220019,      0.959900529,     -2.237409007,   -0.07810904128,     -1.452718013,      2.189281076,    -0.3671814206,     0.7673689091,      1.023936987,              0.7
  -0.04673969786,     -1.025053275,  -0.003055360287,      1.020643834,   -0.09311515749,  -0.001708056826,     0.9597104968,      -2.25814416,   -0.08172790475,      -1.45991347,      2.211758727,    -0.3663827064,     0.7819319607,      1.024424127,             0.71
  -0.03653033343,     -1.025937149,  -0.003071972595,      1.021213185,   -0.08366038834,  -0.001614309228,     0.9595206369,     -2.279012917,   -0.08591570942,     -1.467235965,      2.234444405,     -0.365544966,      0.796567602,      1.024916321,             0.72
  -0.02631575117,     -1.026726499,  -0.003087644599,      1.021687435,    -0.0742105676,  -0.001519999862,     0.9593309517,     -2.300005471,   -0.09068079096,       -1.4746857,      2.257339398,    -0.3646624679,     0.8112771042,      1.025413604,             0.73
  -0.01609690103,     -1.027421381,  -0.003102370794,      1.022066797,   -0.06476677058,  -0.001425151068,     0.9591414439,      -2.32111178,    -0.0960312485,     -1.482262874,      2.280444894,    -0.3637293988,     0.8260617408,      1.025916014,             0.74
 -0.005874730768,     -1.028021858,  -0.003116145896,      1.022351497,   -0.05533006719,   -0.00132978489,     0.9589521157,     -2.342321569,    -0.1019749373,     -1.489967688,      2.303761978,    -0.3627398655,     0.8409227871,      1.026423587,             0.75
  0.004349814184,     -1.028528009,   -0.00312896484,      1.022541777,    -0.0459015217,  -0.001233923076,     0.9587629697,     -2.363624336,    -0.1085194614,     -1.497800345,      2.327291635,    -0.3616878972,     0.8558615207,      1.026936358,             0.76
   0.01457579089,      -1.02893992,  -0.003140822777,      1.022637892,   -0.03648219253,  -0.001137587086,     0.9585740084,     -2.385009364,    -0.1156721671,     -1.505761045,      2.351034739,    -0.3605674489,     0.8708792208,      1.027454363,             0.77
   0.02480225903,     -1.029257687,  -0.003151715071,       1.02264011,   -0.02707313202,  -0.001040798087,     0.9583852342,     -2.406465722,    -0.1234401361,     -1.513849989,       2.37499206,     -0.359372403,      0.885977169,      1.027977639,             0.78
   0.03502828105,      -1.02948142,  -0.003161637298,      1.022548716,   -0.01767538622, -0.0009435769574,     0.9581966495,     -2.427982282,    -0.1318301789,      -1.52206738,      2.399164254,    -0.3580965725,     0.9011566488,      1.028506219,             0.79
   0.04525292229,     -1.029611236,  -0.003170585239,      1.022364005,  -0.008289994688, -0.0008459442907,     0.9580082567,     -2.449547715,    -0.1408488294,     -1.530413418,      2.423551869,     -0.356733704,     0.9164189455,       1.02904014,              0.8
   0.05547525113,     -1.029647264,   -0.00317855488,      1.022086289,   0.001082009741, -0.0007479203946,     0.9578200582,      -2.47115051,    -0.1505023384,     -1.538888303,      2.448155333,    -0.3552774797,     0.9317653466,      1.029579435,             0.81
   0.06569433913,     -1.029589644,  -0.003185542409,      1.021715891,    0.01043960113, -0.0006495252936,     0.9576320564,     -2.492778975,    -0.1607966684,     -1.547492237,      2.472974964,    -0.3537215211,     0.9471971417,       1.03012414,             0.82
