Radius_1, Radius_2, Radius_3, Velocity_1, Velocity_2, Velocity_3, Mass, Adjoint Variables...
   -0.8619801883,    -0.5210418296,    0.01154417854,     0.5024736335,    -0.8869179321,    0.01611082774,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.62
    -0.856913376,    -0.5298853811,    0.01170471959,     0.5108793418,    -0.8817787116,    0.01599713648,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.63
   -0.8517627924,    -0.5386771316,    0.01186411639,     0.5192277676,    -0.8765578276,     0.0158819816,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.64
   -0.8465290144,    -0.5474162679,    0.01202235439,     0.5275180809,    -0.8712560063,    0.01576537853,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.65
   -0.8412126272,    -0.5561019844,    0.01217941919,     0.5357494628,     -0.865873983,    0.01564734284,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.66
   -0.8358142242,    -0.5647334827,    0.01233529652,     0.5439211051,    -0.8604125014,    0.01552789026,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.67
   -0.8303344069,     -0.573309972,    0.01248997232,     0.5520322111,    -0.8548723141,    0.01540703664,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.68
   -0.8247737844,    -0.5818306692,    0.01264343264,     0.5600819951,    -0.8492541817,      0.015284798,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.69
    -0.819132974,    -0.5902947984,    0.01279566372,     0.5680696826,    -0.8435588733,    0.01516119047,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,              0.7
   -0.8134126003,     -0.598701592,    0.01294665194,     0.5759945106,    -0.8377871657,    0.01503623034,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.71
   -0.8076132958,    -0.6070502897,    0.01309638387,     0.5838557276,    -0.8319398434,      0.014909934,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.72
   -0.8017357003,    -0.6153401394,    0.01324484622,     0.5916525934,    -0.8260176987,    0.01478231797,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.73
   -0.7957804609,    -0.6235703969,    0.01339202589,     0.5993843798,    -0.8200215309,    0.01465339891,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.74
    -0.789748232,     -0.631740326,    0.01353790991,     0.6070503699,    -0.8139521468,    0.01452319357,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.75
   -0.7836396751,    -0.6398491985,    0.01368248553,     0.6146498586,    -0.8078103599,    0.01439171884,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.76
   -0.7774554588,    -0.6478962946,    0.01382574012,     0.6221821529,    -0.8015969905,    0.01425899168,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.77
   -0.7711962583,    -0.6558809025,    0.01396766124,     0.6296465713,    -0.7953128654,    0.01412502919,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.78
   -0.7648627559,    -0.6638023188,    0.01410823664,     0.6370424443,    -0.7889588179,    0.01398984855,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.79
   -0.7584556401,    -0.6716598485,    0.01424745421,     0.6443691144,    -0.7825356873,    0.01385346705,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,              0.8
   -0.7519756064,    -0.6794528051,    0.01438530203,     0.6516259362,    -0.7760443188,    0.01371590205,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.81
   -0.7454233564,    -0.6871805103,    0.01452176836,     0.6588122761,    -0.7694855634,    0.01357717103,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.82
   -0.7387995979,    -0.6948422946,    0.01465684163,     0.6659275128,    -0.7628602777,    0.01343729153,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.83
   -0.7321050451,    -0.7024374969,    0.01479051043,     0.6729710369,    -0.7561693235,    0.01329628118,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.84
   -0.7253404182,     -0.709965465,    0.01492276354,     0.6799422514,    -0.7494135678,    0.01315415768,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.85
   -0.7185064431,    -0.7174255552,    0.01505358993,     0.6868405712,    -0.7425938826,    0.01301093881,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.86
   -0.7116038517,    -0.7248171325,    0.01518297872,     0.6936654236,    -0.7357111445,    0.01286664241,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.87
   -0.7046333814,    -0.7321395709,    0.01531091924,     0.7004162479,    -0.7287662348,    0.01272128641,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.88
   -0.6975957753,    -0.7393922529,    0.01543740098,     0.7070924958,    -0.7217600389,    0.01257488877,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.89
   -0.6904917819,    -0.7465745703,    0.01556241361,     0.7136936312,    -0.7146934466,    0.01242746752,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,              0.9
   -0.6833221548,    -0.7536859235,    0.01568594698,       0.72021913,    -0.7075673515,    0.01227904075,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.91
   -0.6760876531,     -0.760725722,    0.01580799113,     0.7266684807,     -0.700382651,    0.01212962658,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.92
   -0.6687890407,    -0.7676933842,    0.01592853628,     0.7330411839,    -0.6931402461,    0.01197924321,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.93
   -0.6614270865,    -0.7745883376,    0.01604757282,     0.7393367522,    -0.6858410411,    0.01182790886,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.94
   -0.6540025643,    -0.7814100187,    0.01616509135,     0.7455547108,    -0.6784859435,    0.01167564178,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.95
   -0.6465162526,    -0.7881578732,    0.01628108261,     0.7516945969,    -0.6710758638,    0.01152246027,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.96
   -0.6389689341,    -0.7948313557,    0.01639553757,       0.75775596,    -0.6636117153,    0.01136838267,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.97
   -0.6313613966,    -0.8014299303,    0.01650844734,     0.7637383617,    -0.6560944139,    0.01121342733,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.98
   -0.6236944315,    -0.8079530699,    0.01661980325,     0.7696413758,    -0.6485248779,    0.01105761264,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.99
   -0.6159688351,    -0.8144002568,    0.01672959679,     0.7754645884,     -0.640904028,    0.01090095699,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,                1
   -0.6081854071,    -0.8207709825,    0.01683781965,     0.7812075974,    -0.6332327867,    0.01074347881,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.01
   -0.6003449518,    -0.8270647476,    0.01694446369,      0.786870013,    -0.6255120786,    0.01058519654,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.02
   -0.5924482768,    -0.8332810623,    0.01704952096,     0.7924514576,    -0.6177428299,    0.01042612862,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.03
   -0.5844961937,    -0.8394194455,     0.0171529837,     0.7979515653,    -0.6099259682,     0.0102662935,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.04
